#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
83,"Route 66","Chuck Berry",61,79,"blues, blues rock, classic rock, rock, rock-and-roll, rockabilly, soul","Blues, Rock, R&B","New Juke Box Hits",1961-01-01,02:51,69,69,90,0,96,0,10,-10,A#/B♭ Major,4,2024-01-15,6TXnGAr6DLVYshIrMeP0lZ,"Geffen",6B,,https://i.scdn.co/image/ab67616d000048519a8c09ffa36c708ce937f75a
84,"Goodbye Yellow Brick Road - Remastered 2014","Elton John",81,121,"glam rock, mellow gold, piano rock, rock","Rock","Goodbye Yellow Brick Road (Remastered)",1973-10-05,03:12,56,47,45,0,40,0,10,-8,F Major,4,2024-01-15,4IRHwIZHzlHT1FQpRa5RdE,"UMC (Universal Music Catalogue)",7B,,https://i.scdn.co/image/ab67616d00004851f72f1e38e9bd48f18a17ed9b
85,"Ethereal","Txmy",72,143,"","","Ethereal",2023-10-22,02:48,22,40,91,62,29,0,30,-13,F#/G♭ Major,3,2024-01-15,7iq0IYOnYZUHrz7F4rIIq4,"The System",2B,https://p.scdn.co/mp3-preview/f6dbf5284babbd46734e7f4a194e344e8f516abf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c2c77c7f1f9cb43ce1307faa
86,"Rivers and Roads","The Head And The Heart",61,134,"folk-pop, seattle indie, stomp and holler","Pop, Rock, Folk/Acoustic","The Head And The Heart",2011-01-11,04:44,50,20,70,0,15,0,0,-9,C Major,3,2024-01-15,7mibgLUsXcRSvkiuuNhWdh,"The Head And The Heart",8B,https://p.scdn.co/mp3-preview/f622261e1f7b9f759fe6e60be85d59ea55295377?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851234b3ed475d35d39f3845888
87,"Island In The Sun","Weezer",82,115,"alternative rock, modern power pop, modern rock, permanent wave, rock","Rock, Pop","Weezer",2001-05-15,03:20,65,81,1,0,66,0,10,-6,E Minor,4,2024-01-15,2MLHyLy5z5l5YRp7momlgw,"Geffen",9A,,https://i.scdn.co/image/ab67616d000048511e0dc5baaabda304b0ad1815
88,"Solo","Myles Smith",80,123,"singer-songwriter pop","Pop","Solo",2023-11-15,03:19,43,46,70,0,35,0,10,-7,C Major,4,2024-01-15,2jm0UrP5A9ccJ3twMI8cVq,"Independent",8B,https://p.scdn.co/mp3-preview/93f66d47efa7e3648653f5340f9c31498f6c4cb3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517042fc2dd06de5b8698ce85e
89,"Silver Springs - 2004 Remaster","Fleetwood Mac",73,179,"album rock, classic rock, rock, soft rock, yacht rock","Rock","Rumours (Super Deluxe)",1977-02-04,04:48,35,58,1,5,43,0,20,-8,C Major,4,2024-01-15,4nZi6XNe36Ut4Nij3IQ1yC,"Rhino/Warner Records",8B,https://p.scdn.co/mp3-preview/de3f9e613b6e4b98ebbdcda57fab4d5e3d80500e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e52a59a28efa4773dd2bfe1b
90,"Animals","Architects",70,95,"mathcore, melodic metalcore, metalcore, progressive metalcore, uk metalcore","Rock, Metal","For Those That Wish To Exist",2021-02-26,04:04,53,76,0,2,29,0,0,-4,C♯/D♭ Minor,4,2024-01-15,5ofoB8PFmocBXFBEWVb6Vz,"Epitaph",12A,https://p.scdn.co/mp3-preview/9b4a783334d4c4f686a1273d883c9f83cfa4f2d0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c78b2edbc9407cea20ccfb9f
91,"Dead Butterflies","Architects",56,125,"mathcore, melodic metalcore, metalcore, progressive metalcore, uk metalcore","Rock, Metal","For Those That Wish To Exist",2021-02-26,04:02,43,86,0,0,43,0,0,-5,D#/E♭ Minor,4,2024-01-15,2XdcUAsMCuNMaWLmXIhdjW,"Epitaph",2A,https://p.scdn.co/mp3-preview/569af6dfac35bc1ed04a26e6183278661d90cd09?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c78b2edbc9407cea20ccfb9f
92,"One More Light","Linkin Park",76,84,"alternative metal, nu metal, post-grunge, rap metal, rock","Metal, Rock","One More Light",2017-05-19,04:15,59,20,90,0,17,0,0,-11,G#/A♭ Major,4,2024-01-15,3xXBsjrbG1xQIm1xv1cKOt,"Warner Records",4B,https://p.scdn.co/mp3-preview/44482a2b0b1bacd5d5e3b3c28e29974812b1351f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851145e1cf12538f5666511237d
93,"My Home Is You","The Strumbellas",23,124,"canadian indie, folk-pop, stomp and holler","Rock, Pop, Folk/Acoustic","Holster",2024-01-12,03:23,63,73,26,0,50,0,10,-7,G Major,4,2024-01-15,1DZwBfdu5E1khGJl6bG3fv,"Glassnote Music LLC",9B,https://p.scdn.co/mp3-preview/2320935219461f3e2ba8b6229cc662fac09e36c2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519fe6fa107cbbd571cdf411b6
94,"The Kill","Thirty Seconds To Mars",82,183,"modern rock, post-grunge","Rock, Metal","A Beautiful Lie",2005-01-01,03:51,18,91,0,0,29,0,50,-4,E Minor,3,2024-01-15,0lP4HYLmvowOKdsQ7CVkuq,"Virgin Records",9A,,https://i.scdn.co/image/ab67616d00004851865b538169f199dac610b854
95,"Numb","Linkin Park",88,110,"alternative metal, nu metal, post-grunge, rap metal, rock","Metal, Rock","Meteora",2003-09-16,03:05,50,86,0,0,24,0,60,-4,A Major,4,2024-01-15,2nLtzopw4rPReszdYBJU6h,"Warner Records",11B,https://p.scdn.co/mp3-preview/15e1178c9eb7f626ac1112ad8f56eccbec2cd6e5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b4ad7ebaf4575f120eb3f193
96,"On the Nature of Daylight","Max Richter,Louisa Fuller,Natalia Bonner,John Metcalfe,Philip Sheppard,Chris Worsey",69,65,"compositional ambient, post-minimalism, neo-classical, british soundtrack, modern cello","Easy listening, Classical, New age","The Blue Notebooks (15 Years)",2018-05-11,06:11,7,34,15,85,3,0,10,-13,A#/B♭ Minor,4,2024-01-15,56oReVXIfUO9xkX7pHmEU0,"Deutsche Grammophon (DG)",3A,,https://i.scdn.co/image/ab67616d00004851e2821b1458ab996fdf2c47ad
97,"Viva La Vida","Coldplay",89,138,"permanent wave, pop","Rock, Pop","Viva La Vida or Death and All His Friends",2008-05-26,04:02,49,62,10,0,42,0,10,-7,F Minor,4,2024-01-15,1mea3bSkSGXuIRvnydlB5b,"Parlophone UK",4A,https://p.scdn.co/mp3-preview/fb9f4a9b0887326776b4fb7c6d331acd167a7778?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e21cc1db05580b6f2d2a3b6e
98,"Dream On","Aerosmith",85,78,"album rock, classic rock, hard rock, rock","Rock","Aerosmith",1973-01-05,04:27,39,48,40,0,23,0,30,-8,C♯/D♭ Major,4,2024-01-15,1xsYj84j7hUDDnTTerGWlH,"Aerosmith P&D - Sony",3B,,https://i.scdn.co/image/ab67616d00004851bbf0146981704a073405b6c2
99,"Spirits","The Strumbellas",73,81,"canadian indie, folk-pop, stomp and holler","Rock, Pop, Folk/Acoustic","Hope",2016-04-22,03:23,56,66,17,0,79,0,10,-6,C Major,4,2024-01-15,1VyiUi0mRnSKgtHa5dBoUd,"Glassnote Entertainment Group LLC",8B,https://p.scdn.co/mp3-preview/25f18f3cdb4d0af0e09865ebb9e8ae8bc1af27e4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ad4ffe5582ca7665fb08a0fa
100,"Saturn","Sleeping At Last",70,73,"ambient worship, chamber pop","New age, Pop","Atlas: I",2014-07-08,04:49,26,24,64,31,5,0,10,-14,D#/E♭ Major,4,2024-01-15,3tJjZMHLqhD8DaGgdBICnc,"Asteroid B-612",5B,https://p.scdn.co/mp3-preview/009b0e7021bdbc68457e6ec3bae032fbc33fb6ff?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c761387d83c7c615da7008a8
101,"Oblivion","Palaye Royale",46,75,"modern alternative rock, vegas indie","Rock","Fever Dream",2022-10-28,05:16,38,48,12,0,11,0,30,-7,C Major,4,2024-01-15,45PSzxeTQD0X1OZEypGSgH,"Sumerian Records",8B,,https://i.scdn.co/image/ab67616d00004851ba4846438180facd6b6935a8
102,"What I've Done","Linkin Park",84,120,"alternative metal, nu metal, post-grunge, rap metal, rock","Metal, Rock","Minutes to Midnight",2007-05-14,03:25,62,93,1,0,29,0,10,-5,F Major,4,2024-01-15,18lR4BzEs7e3qzc0KVkTpU,"Warner Records",7B,https://p.scdn.co/mp3-preview/bb5a97b64d61c8920674717ca753752eee008b95?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516e996745f2c7b8036abef213
103,"I Love You","Woodkid",56,146,"chamber pop","Pop","The Golden Age",2013-01-01,03:50,54,81,5,0,53,0,0,-5,F Minor,4,2024-01-15,0z39yzkwMNXYX2LYtEOpFW,"Island Records",4A,,https://i.scdn.co/image/ab67616d00004851216fa486e2c3e899cacfe6bf
104,"Deli","mor ve ötesi",61,75,"turkish alternative, turkish alternative rock, turkish rock","Pop, Rock","Başıbozuk",2008-11-24,03:04,43,92,4,0,45,0,10,-3,E Minor,4,2024-01-15,3eEmeP2ydpJDtl0tY91t8Y,"RAKUN MÜZİK FİLM",9A,https://p.scdn.co/mp3-preview/aa97fd71f92fc94645ce756fe378965e3d91113c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512ab14cd2b3bdf78a4ced996c
105,"Feel","Robbie Williams",78,98,"dance rock, europop","Rock, Pop","Escapology",2002-00-00,04:23,60,73,1,0,30,0,10,-7,F Major,4,2024-01-15,2Ms33RTRCT6gArrpcrPxmo,"Chrysalis UK",7B,,https://i.scdn.co/image/ab67616d000048513a9ad390e0635b43ff01d250
106,"Tompkins Square Park","Mumford & Sons",58,162,"modern folk rock, modern rock, neo mellow, stomp and holler, uk americana","Rock, Folk/Acoustic","Wilder Mind",2015-05-04,05:12,46,79,1,3,47,0,10,-7,D Minor,4,2024-01-15,7rQ3Gz0M6eMUCOQf4fs0qq,"Universal-Island Records Ltd.",7A,,https://i.scdn.co/image/ab67616d00004851b2bccd4f0dafab84faf216e7
107,"Heal","Tom Odell",76,72,"chill pop","Pop","Long Way Down (Deluxe)",2013-06-24,03:13,45,18,95,0,12,0,10,-13,C♯/D♭ Major,4,2024-01-15,4KlL5Bwlm4yHYxr0B2rHci,"ITNO/Columbia",3B,https://p.scdn.co/mp3-preview/6cf5fea1e287ad83be8583b3fe9405d147e8e480?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511917a0f3f4152622a040913f
108,"Experience","Ludovico Einaudi,Daniel Hope,I Virtuosi Italiani",81,92,"compositional ambient, neo-classical, violin, chamber orchestra, classical performance, string orchestra","Classical","In A Time Lapse",2013-01-01,05:15,45,45,93,96,4,0,0,-11,D Major,4,2024-01-15,1BncfTJAWxrsxyT9culBrj,"Decca (UMO) (Classics)",10B,,https://i.scdn.co/image/ab67616d000048516c8ef0538e04f2e28380dcc5
