#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
78,"Ocean Tree","FEATHERED SUN,Jo.Ke,Raz Ohara,Johannes Laumer,Christopher Schwarzwälder,Nu",44,160,"organic electronic, organic house","Electronic","Bulbo",2016-05-13,09:51,83,21,76,88,38,10,10,-12,C♯/D♭ Major,4,2024-01-15,0RWDbR1CJD4NKRxSQQyu8s,"Platon Records",3B,https://p.scdn.co/mp3-preview/a54157aebb59d675bde041c792997f442fc0c9ef?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516925736fb9423be7925874e2
79,"I Lost A Bet","Aquilo",33,120,"indie anthem-folk","Folk/Acoustic","ii",2018-05-04,02:10,52,14,94,0,15,0,10,-15,B Minor,4,2024-01-15,014xTVT24t97Ht5IENMaqN,"Universal-Island Records Ltd.",10A,,https://i.scdn.co/image/ab67616d00004851e63babc570e7bfafcb45af89
80,"You Are a Memory","Message To Bears",1,145,"compositional ambient, folktronica","Classical, Folk/Acoustic","Maps",2013-11-12,03:41,13,34,85,4,3,0,10,-10,A Major,5,2024-01-15,5cWSpmTfItDuppACMrE3I9,"Self-Released",11B,,https://i.scdn.co/image/ab67616d0000485142d825635f6beca1a9cccd43
81,"Lys","Susanne Sundfør",39,110,"art pop, metropopolis, norwegian pop, norwegian singer-songwriter","Pop, Electronic, World/Traditional","Self Portrait Original Soundtrack",2020-01-10,01:55,28,24,99,0,17,0,10,-16,F Major,3,2024-01-15,7Jkah5My9P8u4dOinUfKAq,"Bella Union",7B,https://p.scdn.co/mp3-preview/1f65395fc18b8ff73803c0f38cc49161dfc57cc3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d789d783d1f03e6ba208e3ef
82,"Silhouette","Aquilo",59,78,"indie anthem-folk","Folk/Acoustic","Silhouettes",2017-01-27,03:50,23,41,70,0,14,0,0,-8,C♯/D♭ Major,3,2024-01-15,0ygOBx60exSPPvnI4sS28r,"Universal-Island Records Ltd.",3B,,https://i.scdn.co/image/ab67616d000048511865a6792cd2270a59a0cbc7
83,"Carry You","Novo Amor",70,93,"ambient folk, indie folk, modern indie folk","Folk/Acoustic","Bathing Beach",2017-05-26,04:33,33,40,56,8,4,0,10,-8,G Major,4,2024-01-15,0u4rkpmNtgcFxYHepnVF4v,"AllPoints",9B,https://p.scdn.co/mp3-preview/b119314bd6674f1c0ea087ce3c040cd8116746c1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851277620423172f5a151f452e3
84,"Saturn","Sleeping At Last",70,73,"ambient worship, chamber pop","New age, Pop","Atlas: I",2014-07-08,04:49,26,24,64,31,5,0,10,-14,D#/E♭ Major,4,2024-01-15,3tJjZMHLqhD8DaGgdBICnc,"Asteroid B-612",5B,https://p.scdn.co/mp3-preview/009b0e7021bdbc68457e6ec3bae032fbc33fb6ff?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c761387d83c7c615da7008a8
85,"Living In A Haze","Milky Chance",70,130,"german pop, modern rock","Pop, Rock","Living In A Haze",2023-03-01,02:53,69,72,27,0,43,0,10,-6,C♯/D♭ Major,4,2024-01-15,3yfki4r5cgFA784trLoHnk,"Muggelig Records GmbH",3B,https://p.scdn.co/mp3-preview/061703eb7db6b44823312ab83926fe7e17116fbe?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512f4ba2b526402afb46e517e3
86,"Falling Apart","Michael Schulte",77,110,"german pop, talentschau","Pop","Hold the Rhythm",2017-04-28,03:18,54,33,82,0,26,0,10,-9,G Minor,4,2024-01-15,0aIW3ekrhK1eh3BYCh11op,"VERY US RECORDS",6A,https://p.scdn.co/mp3-preview/abbde6e4f7a4d3cb47808101020418bd506d0e9d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ab43ce4feed57aa8ada5e148
87,"Eat Your Young","Hozier",65,90,"irish singer-songwriter, modern rock, pov: indie","Folk/Acoustic, Rock, Pop","Eat Your Young",2023-03-17,04:02,55,59,38,13,37,0,20,-7,F Major,4,2024-01-15,6PkxSIt2TYLMFa8ybyngVP,"Universal-Island Records Ltd.",7B,,https://i.scdn.co/image/ab67616d00004851cbfe2fdb85f13fe4e0ba11a1
88,"Mr. Brightside","The Killers",90,148,"alternative rock, dance rock, modern rock, permanent wave, rock","Rock","Hot Fuss",2004-00-00,03:42,35,91,0,0,24,0,10,-5,C♯/D♭ Major,4,2024-01-15,003vvx7Niy0yvhvHt4a68B,"Island Records",3B,,https://i.scdn.co/image/ab67616d00004851ccdddd46119a4ff53eaf1f5d
